Match_ID,Date,Sport,Country,Team,Player,Opponent,Venue,Matches_Played,Goals_or_Runs,Assists_or_Wickets,Win_Percentage,Fan_Attendance,Revenue_USD,Sponsorship_USD,Social_Media_Engagement,Ranking,MVP_Awards,Injury_Status,Season,Ticket_Price_USD
MATCH1001,29-01-2025,Football,Australia,Real Madrid,Rohit Sharma,Mueller PLC,Arena B,9,188,6,74.14,76482,443824.77,846734.03,509914,12,6,Fit,2025,304.99
MATCH1002,03-01-2025,Olympics,Spain,India Olympic Team,Novak Djokovic,"Morales, Donaldson and Elliott",Arena B,29,150,17,84.75,5851,3796448.76,323520.34,7100293,44,8,Fit,2023,479.03
MATCH1003,05-04-2023,Basketball,France,Lakers,Cristiano Ronaldo,"Knight, Ortiz and Knight",National Ground,23,154,16,84.57,65217,2685778.18,1946365.95,6360753,11,17,Minor Injury,2025,313.07
MATCH1004,16-07-2023,Basketball,USA,Nets,Lionel Messi,"Roberts, Melton and Fields",Arena B,50,74,5,88.43,18238,1906829.86,909553.55,6130868,21,11,Minor Injury,2023,338.39
MATCH1005,12-10-2024,Football,Brazil,Bayern Munich,Kylian Mbappe,Delacruz Group,Arena B,11,118,24,41.6,88886,3443928.17,443132.27,5450561,99,1,Fit,2023,404.47
MATCH1006,09-03-2023,Tennis,England,Grand Slam,Erling Haaland,Miller LLC,National Ground,14,167,31,51.65,89259,2299670.74,533435.93,4147722,96,17,Recovering,2024,376.04
MATCH1007,06-01-2024,Tennis,England,Davis Cup,Virat Kohli,Clark PLC,Sports Complex,32,23,48,23.77,19371,772678.18,324164.09,7092668,77,2,Minor Injury,2024,301.99
MATCH1008,20-07-2024,Tennis,India,Grand Slam,Cristiano Ronaldo,"Moreno, Wood and Griffin",Sports Complex,49,68,49,71.28,19621,1474565.64,320524.72,64447,93,8,Recovering,2023,258.76
MATCH1009,11-05-2025,Football,Spain,Manchester City,Erling Haaland,Hatfield PLC,Arena B,10,95,48,32.92,74514,4593282.54,1199894.45,8207443,3,3,Minor Injury,2024,127.33
MATCH1010,22-03-2023,Cricket,USA,CSK,Rafael Nadal,"Alvarez, Woods and Boyer",Stadium A,49,136,49,30.06,91474,2381659.07,1101858.17,4456912,68,19,Minor Injury,2023,465.17
